2024-01-03 18:52:38,432 - cli.py - This is Paynt version 0.1.0.
2024-01-03 18:52:38,432 - sketch.py - loading sketch from models/mdp/sketches/dpm/switch/sketch.templ ...
2024-01-03 18:52:38,432 - sketch.py - assuming sketch in PRISM format...
2024-01-03 18:52:38,440 - prism_parser.py - PRISM model type: MDP
2024-01-03 18:52:38,440 - prism_parser.py - processing hole definitions...
2024-01-03 18:52:38,440 - prism_parser.py - loading properties from models/mdp/sketches/dpm/switch/sketch.props ...
2024-01-03 18:52:38,441 - prism_parser.py - found the following specification: constraints: P>=19/20 [F ((bat = 0) & (lost = 0))]; 
2024-01-03 18:52:38,441 - jani.py - constructing JANI program...
2024-01-03 18:52:38,526 - jani.py - constructing the quotient...
2024-01-03 18:52:39,269 - jani.py - associating choices of the quotient with hole assignments...
2024-01-03 18:52:39,557 - sketch.py - sketch parsing OK
2024-01-03 18:52:39,558 - sketch.py - constructed explicit quotient having 1594 states and 186170 actions
2024-01-03 18:52:39,558 - sketch.py - found the following specification constraints: P>=19/20 [F ((bat = 0) & (lost = 0))]; 
2024-01-03 18:52:39,685 - mdp_family.py - associating choices with action labels...
2024-01-03 18:52:39,834 - synthesizer.py - evaluation initiated, design space: 1312200
> Progress 56.107%, elapsed 2849 s, estimated 5078 s, iters = {MDP: 736243}
> Progress 56.177%, elapsed 2852 s, estimated 5077 s, iters = {MDP: 737156}
> Progress 56.241%, elapsed 2855 s, estimated 5076 s, iters = {MDP: 738008}
> Progress 56.306%, elapsed 2858 s, estimated 5076 s, iters = {MDP: 738860}
> Progress 56.36%, elapsed 2861 s, estimated 5076 s, iters = {MDP: 739559}
> Progress 56.42%, elapsed 2864 s, estimated 5076 s, iters = {MDP: 740355}
> Progress 56.477%, elapsed 2867 s, estimated 5076 s, iters = {MDP: 741104}
> Progress 56.534%, elapsed 2870 s, estimated 5077 s, iters = {MDP: 741849}
> Progress 56.589%, elapsed 2873 s, estimated 5077 s, iters = {MDP: 742562}
> Progress 56.641%, elapsed 2876 s, estimated 5078 s, iters = {MDP: 743257}
> Progress 56.694%, elapsed 2879 s, estimated 5078 s, iters = {MDP: 743952}
> Progress 56.747%, elapsed 2882 s, estimated 5079 s, iters = {MDP: 744636}
> Progress 56.803%, elapsed 2885 s, estimated 5079 s, iters = {MDP: 745373}
> Progress 56.895%, elapsed 2888 s, estimated 5076 s, iters = {MDP: 746587}
> Progress 56.984%, elapsed 2891 s, estimated 5073 s, iters = {MDP: 747757}
> Progress 57.067%, elapsed 2894 s, estimated 5071 s, iters = {MDP: 748839}
> Progress 57.146%, elapsed 2897 s, estimated 5070 s, iters = {MDP: 749872}
> Progress 57.221%, elapsed 2900 s, estimated 5068 s, iters = {MDP: 750863}
> Progress 57.294%, elapsed 2903 s, estimated 5067 s, iters = {MDP: 751822}
> Progress 57.364%, elapsed 2906 s, estimated 5066 s, iters = {MDP: 752736}
> Progress 57.433%, elapsed 2909 s, estimated 5065 s, iters = {MDP: 753647}
> Progress 57.5%, elapsed 2912 s, estimated 5064 s, iters = {MDP: 754527}
> Progress 57.564%, elapsed 2915 s, estimated 5064 s, iters = {MDP: 755359}
> Progress 57.625%, elapsed 2918 s, estimated 5064 s, iters = {MDP: 756166}
> Progress 57.686%, elapsed 2921 s, estimated 5064 s, iters = {MDP: 756957}
> Progress 57.742%, elapsed 2924 s, estimated 5064 s, iters = {MDP: 757699}
> Progress 57.797%, elapsed 2927 s, estimated 5064 s, iters = {MDP: 758426}
> Progress 57.852%, elapsed 2930 s, estimated 5065 s, iters = {MDP: 759143}
> Progress 57.907%, elapsed 2933 s, estimated 5065 s, iters = {MDP: 759858}
> Progress 57.958%, elapsed 2936 s, estimated 5066 s, iters = {MDP: 760530}
> Progress 58.009%, elapsed 2939 s, estimated 5067 s, iters = {MDP: 761199}
> Progress 58.092%, elapsed 2942 s, estimated 5064 s, iters = {MDP: 762285}
> Progress 58.182%, elapsed 2945 s, estimated 5062 s, iters = {MDP: 763473}
> Progress 58.267%, elapsed 2948 s, estimated 5059 s, iters = {MDP: 764593}
> Progress 58.35%, elapsed 2951 s, estimated 5057 s, iters = {MDP: 765677}
> Progress 58.428%, elapsed 2954 s, estimated 5056 s, iters = {MDP: 766700}
> Progress 58.502%, elapsed 2957 s, estimated 5055 s, iters = {MDP: 767668}
> Progress 58.573%, elapsed 2960 s, estimated 5054 s, iters = {MDP: 768601}
> Progress 58.644%, elapsed 2963 s, estimated 5053 s, iters = {MDP: 769535}
> Progress 58.71%, elapsed 2966 s, estimated 5052 s, iters = {MDP: 770394}
> Progress 58.775%, elapsed 2969 s, estimated 5052 s, iters = {MDP: 771251}
> Progress 58.837%, elapsed 2972 s, estimated 5051 s, iters = {MDP: 772069}
> Progress 58.897%, elapsed 2975 s, estimated 5051 s, iters = {MDP: 772858}
> Progress 58.955%, elapsed 2978 s, estimated 5051 s, iters = {MDP: 773612}
> Progress 59.013%, elapsed 2981 s, estimated 5052 s, iters = {MDP: 774374}
> Progress 59.067%, elapsed 2984 s, estimated 5052 s, iters = {MDP: 775089}
> Progress 59.122%, elapsed 2987 s, estimated 5052 s, iters = {MDP: 775805}
> Progress 59.174%, elapsed 2990 s, estimated 5053 s, iters = {MDP: 776494}
> Progress 59.227%, elapsed 2993 s, estimated 5054 s, iters = {MDP: 777179}
> Progress 59.293%, elapsed 2996 s, estimated 5053 s, iters = {MDP: 778051}
> Progress 59.385%, elapsed 2999 s, estimated 5050 s, iters = {MDP: 779257}
> Progress 59.472%, elapsed 3002 s, estimated 5048 s, iters = {MDP: 780396}
> Progress 59.554%, elapsed 3005 s, estimated 5046 s, iters = {MDP: 781473}
> Progress 59.632%, elapsed 3008 s, estimated 5044 s, iters = {MDP: 782493}
> Progress 59.706%, elapsed 3011 s, estimated 5043 s, iters = {MDP: 783474}
> Progress 59.778%, elapsed 3014 s, estimated 5042 s, iters = {MDP: 784416}
> Progress 59.846%, elapsed 3017 s, estimated 5041 s, iters = {MDP: 785304}
> Progress 59.911%, elapsed 3020 s, estimated 5041 s, iters = {MDP: 786164}
> Progress 59.978%, elapsed 3023 s, estimated 5040 s, iters = {MDP: 787042}
> Progress 60.04%, elapsed 3026 s, estimated 5040 s, iters = {MDP: 787853}
> Progress 60.1%, elapsed 3029 s, estimated 5040 s, iters = {MDP: 788642}
> Progress 60.16%, elapsed 3032 s, estimated 5040 s, iters = {MDP: 789424}
> Progress 60.217%, elapsed 3035 s, estimated 5040 s, iters = {MDP: 790170}
> Progress 60.272%, elapsed 3038 s, estimated 5041 s, iters = {MDP: 790895}
> Progress 60.327%, elapsed 3041 s, estimated 5041 s, iters = {MDP: 791620}
> Progress 60.381%, elapsed 3044 s, estimated 5041 s, iters = {MDP: 792331}
> Progress 60.433%, elapsed 3047 s, estimated 5042 s, iters = {MDP: 793010}
> Progress 60.485%, elapsed 3050 s, estimated 5043 s, iters = {MDP: 793688}
> Progress 60.571%, elapsed 3053 s, estimated 5040 s, iters = {MDP: 794826}
> Progress 60.662%, elapsed 3056 s, estimated 5038 s, iters = {MDP: 796009}
> Progress 60.745%, elapsed 3059 s, estimated 5036 s, iters = {MDP: 797108}
> Progress 60.826%, elapsed 3062 s, estimated 5034 s, iters = {MDP: 798162}
> Progress 60.903%, elapsed 3065 s, estimated 5033 s, iters = {MDP: 799178}
> Progress 60.976%, elapsed 3068 s, estimated 5032 s, iters = {MDP: 800130}
> Progress 61.046%, elapsed 3071 s, estimated 5031 s, iters = {MDP: 801059}
> Progress 61.116%, elapsed 3074 s, estimated 5030 s, iters = {MDP: 801966}
> Progress 61.181%, elapsed 3077 s, estimated 5029 s, iters = {MDP: 802825}
> Progress 61.246%, elapsed 3080 s, estimated 5029 s, iters = {MDP: 803672}
> Progress 61.308%, elapsed 3083 s, estimated 5029 s, iters = {MDP: 804490}
> Progress 61.369%, elapsed 3086 s, estimated 5029 s, iters = {MDP: 805292}
> Progress 61.426%, elapsed 3089 s, estimated 5029 s, iters = {MDP: 806034}
> Progress 61.483%, elapsed 3092 s, estimated 5029 s, iters = {MDP: 806786}
> Progress 61.538%, elapsed 3095 s, estimated 5030 s, iters = {MDP: 807510}
> Progress 61.592%, elapsed 3098 s, estimated 5030 s, iters = {MDP: 808222}
> Progress 61.644%, elapsed 3101 s, estimated 5031 s, iters = {MDP: 808904}
> Progress 61.696%, elapsed 3104 s, estimated 5031 s, iters = {MDP: 809589}
> Progress 61.765%, elapsed 3107 s, estimated 5031 s, iters = {MDP: 810486}
> Progress 61.856%, elapsed 3110 s, estimated 5028 s, iters = {MDP: 811687}
> Progress 61.942%, elapsed 3113 s, estimated 5026 s, iters = {MDP: 812804}
> Progress 62.023%, elapsed 3116 s, estimated 5024 s, iters = {MDP: 813877}
> Progress 62.102%, elapsed 3119 s, estimated 5023 s, iters = {MDP: 814908}
> Progress 62.176%, elapsed 3122 s, estimated 5021 s, iters = {MDP: 815885}
> Progress 62.251%, elapsed 3125 s, estimated 5020 s, iters = {MDP: 816859}
> Progress 62.318%, elapsed 3128 s, estimated 5020 s, iters = {MDP: 817750}
> Progress 62.386%, elapsed 3131 s, estimated 5019 s, iters = {MDP: 818635}
> Progress 62.454%, elapsed 3134 s, estimated 5018 s, iters = {MDP: 819523}
> Progress 62.517%, elapsed 3137 s, estimated 5018 s, iters = {MDP: 820352}
> Progress 62.579%, elapsed 3140 s, estimated 5018 s, iters = {MDP: 821165}
> Progress 62.639%, elapsed 3143 s, estimated 5018 s, iters = {MDP: 821960}
> Progress 62.698%, elapsed 3146 s, estimated 5018 s, iters = {MDP: 822726}
> Progress 62.752%, elapsed 3149 s, estimated 5018 s, iters = {MDP: 823443}
> Progress 62.808%, elapsed 3152 s, estimated 5019 s, iters = {MDP: 824170}
> Progress 62.862%, elapsed 3155 s, estimated 5019 s, iters = {MDP: 824881}
> Progress 62.914%, elapsed 3158 s, estimated 5020 s, iters = {MDP: 825562}
> Progress 62.968%, elapsed 3161 s, estimated 5020 s, iters = {MDP: 826273}
> Progress 63.061%, elapsed 3164 s, estimated 5018 s, iters = {MDP: 827499}
> Progress 63.148%, elapsed 3167 s, estimated 5015 s, iters = {MDP: 828639}
> Progress 63.231%, elapsed 3170 s, estimated 5014 s, iters = {MDP: 829729}
> Progress 63.31%, elapsed 3173 s, estimated 5012 s, iters = {MDP: 830766}
> Progress 63.386%, elapsed 3176 s, estimated 5011 s, iters = {MDP: 831759}
> Progress 63.459%, elapsed 3179 s, estimated 5010 s, iters = {MDP: 832719}
> Progress 63.528%, elapsed 3182 s, estimated 5009 s, iters = {MDP: 833621}
> Progress 63.597%, elapsed 3185 s, estimated 5008 s, iters = {MDP: 834533}
> Progress 63.662%, elapsed 3188 s, estimated 5008 s, iters = {MDP: 835385}
> Progress 63.726%, elapsed 3191 s, estimated 5008 s, iters = {MDP: 836219}
> Progress 63.787%, elapsed 3194 s, estimated 5008 s, iters = {MDP: 837025}
> Progress 63.848%, elapsed 3197 s, estimated 5008 s, iters = {MDP: 837815}
> Progress 63.904%, elapsed 3200 s, estimated 5008 s, iters = {MDP: 838554}
> Progress 63.96%, elapsed 3203 s, estimated 5008 s, iters = {MDP: 839293}
> Progress 64.015%, elapsed 3206 s, estimated 5008 s, iters = {MDP: 840015}
> Progress 64.069%, elapsed 3209 s, estimated 5009 s, iters = {MDP: 840727}
> Progress 64.121%, elapsed 3212 s, estimated 5010 s, iters = {MDP: 841401}
> Progress 64.174%, elapsed 3215 s, estimated 5010 s, iters = {MDP: 842094}
> Progress 64.249%, elapsed 3218 s, estimated 5009 s, iters = {MDP: 843077}
> Progress 64.339%, elapsed 3221 s, estimated 5007 s, iters = {MDP: 844266}
> Progress 64.425%, elapsed 3224 s, estimated 5005 s, iters = {MDP: 845390}
> Progress 64.508%, elapsed 3227 s, estimated 5003 s, iters = {MDP: 846483}
> Progress 64.585%, elapsed 3230 s, estimated 5001 s, iters = {MDP: 847496}
> Progress 64.659%, elapsed 3233 s, estimated 5000 s, iters = {MDP: 848460}
> Progress 64.731%, elapsed 3236 s, estimated 4999 s, iters = {MDP: 849405}
> Progress 64.799%, elapsed 3239 s, estimated 4999 s, iters = {MDP: 850304}
> Progress 64.864%, elapsed 3242 s, estimated 4998 s, iters = {MDP: 851156}
> Progress 64.931%, elapsed 3245 s, estimated 4998 s, iters = {MDP: 852026}
> Progress 64.992%, elapsed 3248 s, estimated 4998 s, iters = {MDP: 852837}
> Progress 65.054%, elapsed 3251 s, estimated 4998 s, iters = {MDP: 853644}
> Progress 65.112%, elapsed 3254 s, estimated 4998 s, iters = {MDP: 854403}
> Progress 65.17%, elapsed 3257 s, estimated 4998 s, iters = {MDP: 855162}
> Progress 65.224%, elapsed 3260 s, estimated 4998 s, iters = {MDP: 855881}
> Progress 65.279%, elapsed 3263 s, estimated 4999 s, iters = {MDP: 856598}
> Progress 65.333%, elapsed 3266 s, estimated 4999 s, iters = {MDP: 857312}
> Progress 65.386%, elapsed 3269 s, estimated 5000 s, iters = {MDP: 857998}
> Progress 65.443%, elapsed 3272 s, estimated 5000 s, iters = {MDP: 858749}
> Progress 65.536%, elapsed 3275 s, estimated 4998 s, iters = {MDP: 859973}
> Progress 65.624%, elapsed 3278 s, estimated 4995 s, iters = {MDP: 861120}
> Progress 65.707%, elapsed 3281 s, estimated 4994 s, iters = {MDP: 862215}
> Progress 65.787%, elapsed 3284 s, estimated 4992 s, iters = {MDP: 863261}
> Progress 65.864%, elapsed 3287 s, estimated 4991 s, iters = {MDP: 864270}
> Progress 65.937%, elapsed 3290 s, estimated 4990 s, iters = {MDP: 865236}
> Progress 66.007%, elapsed 3293 s, estimated 4989 s, iters = {MDP: 866145}
> Progress 66.076%, elapsed 3296 s, estimated 4989 s, iters = {MDP: 867052}
> Progress 66.142%, elapsed 3299 s, estimated 4988 s, iters = {MDP: 867922}
> Progress 66.205%, elapsed 3302 s, estimated 4988 s, iters = {MDP: 868753}
> Progress 66.268%, elapsed 3305 s, estimated 4988 s, iters = {MDP: 869576}
> Progress 66.328%, elapsed 3308 s, estimated 4988 s, iters = {MDP: 870367}
> Progress 66.385%, elapsed 3311 s, estimated 4988 s, iters = {MDP: 871113}
> Progress 66.442%, elapsed 3314 s, estimated 4988 s, iters = {MDP: 871857}
> Progress 66.498%, elapsed 3317 s, estimated 4988 s, iters = {MDP: 872600}
> Progress 66.553%, elapsed 3320 s, estimated 4989 s, iters = {MDP: 873319}
> Progress 66.606%, elapsed 3323 s, estimated 4989 s, iters = {MDP: 874010}
> Progress 66.659%, elapsed 3326 s, estimated 4990 s, iters = {MDP: 874708}
> Progress 66.748%, elapsed 3329 s, estimated 4988 s, iters = {MDP: 875874}
> Progress 66.836%, elapsed 3332 s, estimated 4986 s, iters = {MDP: 877034}
> Progress 66.921%, elapsed 3335 s, estimated 4984 s, iters = {MDP: 878145}
> Progress 67.001%, elapsed 3338 s, estimated 4982 s, iters = {MDP: 879197}
> Progress 67.077%, elapsed 3341 s, estimated 4981 s, iters = {MDP: 880189}
> Progress 67.15%, elapsed 3344 s, estimated 4980 s, iters = {MDP: 881152}
> Progress 67.221%, elapsed 3347 s, estimated 4979 s, iters = {MDP: 882077}
> Progress 67.291%, elapsed 3350 s, estimated 4979 s, iters = {MDP: 883001}
> Progress 67.356%, elapsed 3353 s, estimated 4978 s, iters = {MDP: 883856}
> Progress 67.42%, elapsed 3356 s, estimated 4978 s, iters = {MDP: 884695}
> Progress 67.481%, elapsed 3359 s, estimated 4978 s, iters = {MDP: 885495}
> Progress 67.541%, elapsed 3362 s, estimated 4978 s, iters = {MDP: 886280}
> Progress 67.598%, elapsed 3365 s, estimated 4978 s, iters = {MDP: 887028}
> Progress 67.655%, elapsed 3368 s, estimated 4979 s, iters = {MDP: 887773}
> Progress 67.708%, elapsed 3371 s, estimated 4979 s, iters = {MDP: 888469}
> Progress 67.761%, elapsed 3374 s, estimated 4980 s, iters = {MDP: 889173}
> Progress 67.813%, elapsed 3377 s, estimated 4980 s, iters = {MDP: 889852}
> Progress 67.864%, elapsed 3380 s, estimated 4981 s, iters = {MDP: 890521}
> Progress 67.927%, elapsed 3383 s, estimated 4981 s, iters = {MDP: 891347}
> Progress 68.019%, elapsed 3386 s, estimated 4978 s, iters = {MDP: 892557}
> Progress 68.107%, elapsed 3389 s, estimated 4976 s, iters = {MDP: 893706}
> Progress 68.189%, elapsed 3392 s, estimated 4975 s, iters = {MDP: 894782}
> Progress 68.267%, elapsed 3395 s, estimated 4974 s, iters = {MDP: 895806}
> Progress 68.341%, elapsed 3398 s, estimated 4973 s, iters = {MDP: 896781}
> Progress 68.414%, elapsed 3401 s, estimated 4972 s, iters = {MDP: 897732}
> Progress 68.481%, elapsed 3404 s, estimated 4971 s, iters = {MDP: 898621}
> Progress 68.549%, elapsed 3407 s, estimated 4971 s, iters = {MDP: 899501}
> Progress 68.614%, elapsed 3410 s, estimated 4970 s, iters = {MDP: 900361}
> Progress 68.676%, elapsed 3413 s, estimated 4970 s, iters = {MDP: 901175}
> Progress 68.737%, elapsed 3416 s, estimated 4970 s, iters = {MDP: 901970}
> Progress 68.796%, elapsed 3419 s, estimated 4970 s, iters = {MDP: 902748}
> Progress 68.852%, elapsed 3422 s, estimated 4971 s, iters = {MDP: 903477}
> Progress 68.908%, elapsed 3425 s, estimated 4971 s, iters = {MDP: 904214}
> Progress 68.962%, elapsed 3428 s, estimated 4971 s, iters = {MDP: 904926}
> Progress 69.015%, elapsed 3431 s, estimated 4972 s, iters = {MDP: 905626}
> Progress 69.067%, elapsed 3434 s, estimated 4972 s, iters = {MDP: 906300}
> Progress 69.116%, elapsed 3437 s, estimated 4973 s, iters = {MDP: 906951}
> Progress 69.195%, elapsed 3440 s, estimated 4972 s, iters = {MDP: 907988}
> Progress 69.287%, elapsed 3443 s, estimated 4970 s, iters = {MDP: 909193}
> Progress 69.373%, elapsed 3446 s, estimated 4968 s, iters = {MDP: 910314}
> Progress 69.454%, elapsed 3449 s, estimated 4966 s, iters = {MDP: 911386}
> Progress 69.531%, elapsed 3452 s, estimated 4965 s, iters = {MDP: 912393}
> Progress 69.604%, elapsed 3455 s, estimated 4964 s, iters = {MDP: 913357}
> Progress 69.676%, elapsed 3458 s, estimated 4963 s, iters = {MDP: 914297}
> Progress 69.746%, elapsed 3461 s, estimated 4963 s, iters = {MDP: 915221}
> Progress 69.813%, elapsed 3464 s, estimated 4962 s, iters = {MDP: 916089}
> Progress 69.877%, elapsed 3467 s, estimated 4962 s, iters = {MDP: 916940}
> Progress 69.939%, elapsed 3470 s, estimated 4962 s, iters = {MDP: 917748}
> Progress 70.0%, elapsed 3473 s, estimated 4962 s, iters = {MDP: 918553}
> Progress 70.056%, elapsed 3476 s, estimated 4962 s, iters = {MDP: 919286}
> Progress 70.113%, elapsed 3479 s, estimated 4962 s, iters = {MDP: 920024}
> Progress 70.167%, elapsed 3482 s, estimated 4963 s, iters = {MDP: 920737}
> Progress 70.221%, elapsed 3485 s, estimated 4963 s, iters = {MDP: 921442}
> Progress 70.272%, elapsed 3488 s, estimated 4964 s, iters = {MDP: 922121}
> Progress 70.323%, elapsed 3491 s, estimated 4965 s, iters = {MDP: 922789}
> Progress 70.378%, elapsed 3494 s, estimated 4965 s, iters = {MDP: 923507}
> Progress 70.47%, elapsed 3497 s, estimated 4963 s, iters = {MDP: 924714}
> Progress 70.557%, elapsed 3500 s, estimated 4961 s, iters = {MDP: 925856}
> Progress 70.64%, elapsed 3503 s, estimated 4959 s, iters = {MDP: 926950}
> Progress 70.719%, elapsed 3506 s, estimated 4958 s, iters = {MDP: 927988}
> Progress 70.794%, elapsed 3509 s, estimated 4957 s, iters = {MDP: 928970}
> Progress 70.869%, elapsed 3512 s, estimated 4956 s, iters = {MDP: 929945}
> Progress 70.937%, elapsed 3515 s, estimated 4956 s, iters = {MDP: 930848}
> Progress 71.004%, elapsed 3518 s, estimated 4955 s, iters = {MDP: 931728}
> Progress 71.071%, elapsed 3521 s, estimated 4955 s, iters = {MDP: 932601}
> Progress 71.134%, elapsed 3524 s, estimated 4955 s, iters = {MDP: 933430}
> Progress 71.195%, elapsed 3527 s, estimated 4954 s, iters = {MDP: 934234}
> Progress 71.256%, elapsed 3530 s, estimated 4954 s, iters = {MDP: 935026}
> Progress 71.313%, elapsed 3533 s, estimated 4955 s, iters = {MDP: 935771}
> Progress 71.368%, elapsed 3536 s, estimated 4955 s, iters = {MDP: 936499}
> Progress 71.423%, elapsed 3539 s, estimated 4955 s, iters = {MDP: 937219}
> Progress 71.477%, elapsed 3542 s, estimated 4956 s, iters = {MDP: 937925}
> Progress 71.528%, elapsed 3545 s, estimated 4957 s, iters = {MDP: 938598}
> Progress 71.578%, elapsed 3548 s, estimated 4957 s, iters = {MDP: 939258}
> Progress 71.651%, elapsed 3551 s, estimated 4956 s, iters = {MDP: 940211}
> Progress 71.743%, elapsed 3554 s, estimated 4954 s, iters = {MDP: 941413}
> Progress 71.828%, elapsed 3557 s, estimated 4953 s, iters = {MDP: 942536}
> Progress 71.898%, elapsed 3560 s, estimated 4952 s, iters = {MDP: 943454}
> Progress 71.977%, elapsed 3563 s, estimated 4951 s, iters = {MDP: 944492}
> Progress 72.05%, elapsed 3566 s, estimated 4950 s, iters = {MDP: 945454}
> Progress 72.123%, elapsed 3569 s, estimated 4949 s, iters = {MDP: 946411}
> Progress 72.195%, elapsed 3572 s, estimated 4948 s, iters = {MDP: 947348}
> Progress 72.263%, elapsed 3575 s, estimated 4948 s, iters = {MDP: 948246}
> Progress 72.329%, elapsed 3578 s, estimated 4947 s, iters = {MDP: 949108}
> Progress 72.392%, elapsed 3581 s, estimated 4947 s, iters = {MDP: 949935}
> Progress 72.453%, elapsed 3584 s, estimated 4947 s, iters = {MDP: 950740}
> Progress 72.512%, elapsed 3587 s, estimated 4947 s, iters = {MDP: 951510}
> Progress 72.569%, elapsed 3590 s, estimated 4948 s, iters = {MDP: 952259}
> Progress 72.624%, elapsed 3593 s, estimated 4948 s, iters = {MDP: 952982}
> Progress 72.678%, elapsed 3596 s, estimated 4948 s, iters = {MDP: 953683}
> Progress 72.73%, elapsed 3599 s, estimated 4949 s, iters = {MDP: 954372}
> Progress 72.782%, elapsed 3602 s, estimated 4950 s, iters = {MDP: 955052}
> Progress 72.834%, elapsed 3605 s, estimated 4950 s, iters = {MDP: 955731}
> Progress 72.921%, elapsed 3608 s, estimated 4948 s, iters = {MDP: 956873}
> Progress 73.011%, elapsed 3611 s, estimated 4946 s, iters = {MDP: 958062}
> Progress 73.097%, elapsed 3614 s, estimated 4945 s, iters = {MDP: 959180}
> Progress 73.176%, elapsed 3617 s, estimated 4943 s, iters = {MDP: 960221}
> Progress 73.253%, elapsed 3620 s, estimated 4942 s, iters = {MDP: 961230}
> Progress 73.327%, elapsed 3623 s, estimated 4941 s, iters = {MDP: 962208}
> Progress 73.398%, elapsed 3626 s, estimated 4941 s, iters = {MDP: 963132}
> Progress 73.467%, elapsed 3629 s, estimated 4940 s, iters = {MDP: 964044}
> Progress 73.534%, elapsed 3632 s, estimated 4940 s, iters = {MDP: 964916}
> Progress 73.598%, elapsed 3635 s, estimated 4940 s, iters = {MDP: 965765}
> Progress 73.66%, elapsed 3638 s, estimated 4939 s, iters = {MDP: 966569}
> Progress 73.72%, elapsed 3641 s, estimated 4939 s, iters = {MDP: 967366}
> Progress 73.778%, elapsed 3644 s, estimated 4940 s, iters = {MDP: 968125}
> Progress 73.834%, elapsed 3647 s, estimated 4940 s, iters = {MDP: 968859}
> Progress 73.889%, elapsed 3650 s, estimated 4940 s, iters = {MDP: 969575}
> Progress 73.943%, elapsed 3653 s, estimated 4941 s, iters = {MDP: 970294}
> Progress 73.995%, elapsed 3656 s, estimated 4941 s, iters = {MDP: 970971}
> Progress 74.046%, elapsed 3659 s, estimated 4942 s, iters = {MDP: 971640}
> Progress 74.116%, elapsed 3662 s, estimated 4941 s, iters = {MDP: 972561}
> Progress 74.209%, elapsed 3665 s, estimated 4939 s, iters = {MDP: 973779}
> Progress 74.294%, elapsed 3668 s, estimated 4938 s, iters = {MDP: 974893}
> Progress 74.375%, elapsed 3671 s, estimated 4936 s, iters = {MDP: 975960}
> Progress 74.453%, elapsed 3674 s, estimated 4935 s, iters = {MDP: 976979}
> Progress 74.527%, elapsed 3677 s, estimated 4934 s, iters = {MDP: 977947}
> Progress 74.598%, elapsed 3680 s, estimated 4934 s, iters = {MDP: 978880}
> Progress 74.668%, elapsed 3683 s, estimated 4933 s, iters = {MDP: 979802}
> Progress 74.735%, elapsed 3686 s, estimated 4933 s, iters = {MDP: 980676}
> Progress 74.8%, elapsed 3689 s, estimated 4932 s, iters = {MDP: 981531}
> Progress 74.862%, elapsed 3692 s, estimated 4932 s, iters = {MDP: 982349}
> Progress 74.925%, elapsed 3695 s, estimated 4932 s, iters = {MDP: 983169}
> Progress 74.982%, elapsed 3698 s, estimated 4932 s, iters = {MDP: 983918}
> Progress 75.038%, elapsed 3701 s, estimated 4933 s, iters = {MDP: 984660}
> Progress 75.093%, elapsed 3704 s, estimated 4933 s, iters = {MDP: 985383}
> Progress 75.147%, elapsed 3707 s, estimated 4934 s, iters = {MDP: 986087}
> Progress 75.2%, elapsed 3710 s, estimated 4934 s, iters = {MDP: 986779}
> Progress 75.251%, elapsed 3713 s, estimated 4935 s, iters = {MDP: 987451}
> Progress 75.303%, elapsed 3716 s, estimated 4935 s, iters = {MDP: 988130}
> Progress 75.392%, elapsed 3719 s, estimated 4934 s, iters = {MDP: 989295}
> Progress 75.481%, elapsed 3722 s, estimated 4932 s, iters = {MDP: 990474}
> Progress 75.567%, elapsed 3725 s, estimated 4930 s, iters = {MDP: 991603}
> Progress 75.646%, elapsed 3728 s, estimated 4929 s, iters = {MDP: 992636}
> Progress 75.722%, elapsed 3731 s, estimated 4928 s, iters = {MDP: 993632}
> Progress 75.796%, elapsed 3734 s, estimated 4927 s, iters = {MDP: 994609}
> Progress 75.867%, elapsed 3737 s, estimated 4926 s, iters = {MDP: 995534}
> Progress 75.937%, elapsed 3740 s, estimated 4926 s, iters = {MDP: 996449}
> Progress 76.002%, elapsed 3743 s, estimated 4926 s, iters = {MDP: 997303}
> Progress 76.067%, elapsed 3746 s, estimated 4925 s, iters = {MDP: 998162}
> Progress 76.127%, elapsed 3749 s, estimated 4925 s, iters = {MDP: 998947}
> Progress 76.187%, elapsed 3752 s, estimated 4925 s, iters = {MDP: 999727}
> Progress 76.244%, elapsed 3755 s, estimated 4926 s, iters = {MDP: 1000479}
> Progress 76.3%, elapsed 3758 s, estimated 4926 s, iters = {MDP: 1001218}
> Progress 76.355%, elapsed 3761 s, estimated 4926 s, iters = {MDP: 1001934}
> Progress 76.409%, elapsed 3764 s, estimated 4927 s, iters = {MDP: 1002650}
> Progress 76.462%, elapsed 3767 s, estimated 4927 s, iters = {MDP: 1003343}
> Progress 76.514%, elapsed 3770 s, estimated 4928 s, iters = {MDP: 1004020}
> Progress 76.582%, elapsed 3773 s, estimated 4927 s, iters = {MDP: 1004911}
> Progress 76.675%, elapsed 3776 s, estimated 4925 s, iters = {MDP: 1006139}
> Progress 76.761%, elapsed 3779 s, estimated 4924 s, iters = {MDP: 1007262}
> Progress 76.842%, elapsed 3782 s, estimated 4922 s, iters = {MDP: 1008326}
> Progress 76.922%, elapsed 3785 s, estimated 4921 s, iters = {MDP: 1009375}
> Progress 76.995%, elapsed 3788 s, estimated 4920 s, iters = {MDP: 1010342}
> Progress 77.068%, elapsed 3791 s, estimated 4920 s, iters = {MDP: 1011296}
> Progress 77.138%, elapsed 3794 s, estimated 4919 s, iters = {MDP: 1012211}
> Progress 77.205%, elapsed 3797 s, estimated 4919 s, iters = {MDP: 1013090}
> Progress 77.271%, elapsed 3800 s, estimated 4918 s, iters = {MDP: 1013953}
